startup_id,burn_rate,revenue,funding_raised,team_size,months_since_founding,monthly_growth_rate,customer_count,market_competition,team_experience,pivots_count,investor_count,runway_months,revenue_to_cost_ratio,customer_per_team,survived
1,193524.6582352076,611852.8947223795,654089.2624816552,17,24,-4.275393010575321,5116,7,9,1,9,3.379858094510067,3.161611231823041,284.22222222222223,0
2,475850.01014085894,139493.86065204183,2501125.7050507874,46,11,12.24909513189598,6019,9,17,3,2,5.256110950169922,0.2931460849704818,128.06382978723406,0
3,368677.0314875885,292144.64853521815,220223.17952033106,19,51,30.130475159816434,1757,7,17,2,2,0.5973319826835,0.7924113279992198,87.85,0
4,303342.65725654794,366361.8432936917,4551135.990289971,48,17,29.9553413970498,7574,1,12,2,3,15.003234389176374,1.2077451910716799,154.57142857142858,1
5,86449.1338167939,456069.98421703593,1330960.9089200837,25,8,25.477867262463626,6374,1,7,0,6,15.395706752064388,5.275526642718039,245.15384615384616,1
6,86437.3149647393,785175.9613930136,3329485.307552211,27,35,6.483307579403849,6892,9,2,4,3,38.51862809808827,9.083656497854102,246.14285714285714,0
7,38460.96996241774,199673.78215835974,1592969.8266425843,26,35,23.67460555086207,1678,9,3,3,8,41.41675083723271,5.191460093007887,62.148148148148145,1
8,434426.3114297182,514234.4384136116,2624336.7048301636,46,33,12.97561248522739,3242,4,17,1,0,6.040910955145438,1.183706514033947,68.97872340425532,0
9,304546.3557541723,592414.5688620425,2756215.8827492343,42,59,48.30272572334623,4636,9,5,2,7,9.050204609144679,1.945229724273928,107.81395348837209,1
10,356955.5631200623,46450.41271999772,965029.5548513589,30,5,40.93482945596503,1059,3,17,0,6,2.7034929584044973,0.13012903394739975,34.16129032258065,1
11,20086.4022049432,607544.8519014383,4849443.907434565,16,42,33.303771269892394,6668,7,17,0,1,241.4171756983684,30.24506831211509,392.2352941176471,1
12,485255.82755937724,170524.12368729152,3886907.475637517,46,39,4.159095184937344,9914,6,17,3,7,8.010000591206325,0.3514100451609323,210.93617021276594,0
13,417896.89399220666,65051.592985279516,4700519.760742736,2,58,5.364099365679438,3157,8,2,2,0,11.24801016783874,0.15566384497379798,1052.3333333333333,0
14,114046.16423235531,948885.5372533333,4479395.384616862,26,41,-7.573984627694119,5915,9,2,4,8,39.2766923646669,8.320115135174342,219.07407407407408,0
15,99094.2339314793,965632.0330745594,3009604.8951148717,8,28,32.63977338114724,9789,5,5,2,8,30.370833951468367,9.74448512571511,1087.6666666666667,1
16,99868.20982818257,808397.3481164612,4613277.463364428,10,7,-3.3465507512901205,2693,1,1,3,1,46.19319078724286,8.09456037058116,244.8181818181818,1
17,159078.69905017348,304613.7691733707,488037.8851570015,25,9,16.360190111946206,3627,3,1,3,6,3.0678828792797446,1.9148500468139305,139.5,1
18,267130.65149979654,97672.11400638387,1020115.1689747687,2,8,2.103152140123772,9555,8,19,2,9,3.8187731152313327,0.3656328759920771,3185.0,0
19,221653.05913463671,684233.0265121569,273875.0801071634,45,12,43.74581574041116,5450,6,2,3,2,1.2355969530916946,3.0869411062602796,118.47826086956522,0
20,152702.27869704054,440152.4937396013,1660385.1372781585,9,34,18.522213390926705,1663,8,12,2,6,10.87327758411999,2.882403688350744,166.3,1
